,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
312,ADIPIC ACID/EPOXYPRO-,,,25212-19-5,,"Hexanedioic acid, polymer with chloromethyloxirane and
Antistatic/film forming",,
313,PYL DIETHYLENETRIA-,,,,,"N-(2-aminoethyl)-1,2-ethanediamine",,
314,MINE COPOLYMER,,,,,,,
315,ADIPIC ACID/ISOPHTHA-,,,25950-34-9,,Film forming,,
316,LIC ACID/NEOPENTYL,,,,,,,
317,GLYCOL/TRIMETHYLOL-,,,,,,,
318,PROPANE COPOLYMER,,,,,,,
319,ADIPIC ACID/ISOPHTHA-,,,25950-34-9,,"Film forming
1,3-Benzenedicarboxylic acid, polymer with 2,2-dimethyl-",,
320,LIC ACID/NEOPENTYL,,,,,"1,3-propanediol, 2-ethyl-2-(hydroxymethyl)-1,3-propane-",,
321,GLYCOL/TRIMETHYLOL-,,,,,diol and hexanedioic acid,,
322,PROPANE COPOLYMER,,,,,,,
323,ADIPIC ACID/NEOPENTYL,,,28407-73-0,,"Film forming
Hexanedioic acid, polymer with 1,3-dihydro-1,3-dioxo-5-",,
324,GLYCOL/TRIMELLITIC,,,,,"isobenzofurancarboxylic acid and 2,2-dimethyl-1,3-propa-",,
325,ANHYDRIDE COPOLYMER,,,,,nediol,,
326,AEGOPODIUM PODA-,,,90320-19-7,291-043-6,"Skin conditioning
Aegopodium Podagraria Extract
is an extract of
the",,
327,GRARIA EXTRACT,,,,,"flowering herb of
the goatweed, Aegopodium podagraria,",,
328,,,,,,Apiaceae,,
329,AESCULUS HIPPOCASTA-,,,8053-39-2,232-497-7,"Tonic/astringent
Aesculus Hippocastanum Bark Extract
is an extract of
the",,
330,NUM BARK EXTRACT,,,,,"bark of
the horse chestnut
tree, Aesculus hippocastanum,",,
331,,,,,,Hippocastanaceae,,
332,AESCULUS HIPPOCASTA-,,,8053-39-2,232-497-7,"Aesculus Hippocastanum Extract
is an extract of
the horse
Tonic/astringent",,
333,NUM EXTRACT,,,,,"chestnut, Aesculus hippocastanum, Hippocastanaceae",,
334,AGAR,,agar,9002-18-0,232-658-1,"Agar
Binding/viscosity controlling",,
335,AGARICUS BISPORUS,95009-14-6,305-742-1,,Agaricus Bisporus Extract is an extract of the caps and stems,,Emollient,
336,EXTRACT,,,"of
the mushroom Agaricus bisporus, Agaricaceae",,,,
337,AGAROSE,9012-36-6,232-731-8,Agarose,,,,Skin conditioning/viscosity con-
338,,,,,,,trolling,
339,AGAVE AMERICANA,85186-53-4,286-037-5,,Agave Americana Extract is an extract of the leaves of Agave,,Skin conditioning,
340,EXTRACT,,,"americana, Agavaceae",,,,
341,AGAVE RIGIDA,,,,Agave Rigida is a plant material derived from the leaves of,,Bulking,
342,,,,"the sisal, Agave rigida, Agavaceae",,,,
343,AGAVE RIGIDA EXTRACT,165800-55-5,306-786-4,"Agave Rigida Extract
is an extract of","the leaves of
the sisal,",,Bulking,
344,,,,"Agave rigida, Agavaceae",,,,
345,AGRIMONIA EUPATORIA,84775-40-6,283-870-6,"Agrimonia Eupatoria Extract
is an extract of",the leaves of,,,Skin conditioning/astringent/anti-
346,EXTRACT,,,"the agrimony, Agrimonia eupatoria, Rosaceae",,,microbial,
347,AGROPYRON REPENS,84649-79-6,283-459-1,"Agropyron Repens Extract
is an extract of",the roots of,the,Skin conditioning,
348,EXTRACT,,,"couch grass, Agropyron repens, Gramineae",,,,
349,AHNFELTIA CONCINNA,223749-75-5,,"Ahnfeltia Concinna Extract
is an extract of","the algae,",,Skin protecting; gel,forming
350,EXTRACT,,,"Ahnfeltia concinna, Phyllophoraceae",,,,
351,AILANTHUS ALTISSIMA,90131-67-2,290-380-6,"Ailanthus Altissima Extract
is an extract of",the bark of,the,Skin conditioning,
352,EXTRACT,,,"Ailanthus altissima, Simarubaceae",,,,
353,"ALANINE
alanine","56-41-7/302-
alaninum",200-273-8/,Alanine,,,Antistatic,
354,,72-7,206-126-4,,,,,
355,ALANINE GLUTAMATE,13187-90-1,,"Glutamic acid, compound with alanine",,,Skin conditioning,
356,ALANINE/HISTIDINE/,,,,"Polymer derived from alanine, histidine and lysine, copper",,Skin conditioning,
357,LYSINE POLYPEPTIDE,,,"derivative, hydrochloride",,,,
358,COPPER HCL,,,,,,,
359,ALBUMEN,9006-50-2,310-127-6,"Naturally occurring substances, egg white",,,Film forming,
360,ALCHEMILLA VULGARIS,84695-94-3,283-614-3,"Alchemilla Vulgaris Extract
is an extract of",the leaves and,,,Skin conditioning/cleansing/astrin-
361,EXTRACT,,,aerial parts of,"the lady's mantle, Alchemilla vulgaris,",,gent,
362,,,,Rosaceae,,,,
363,"ALCLOXA
alcloxa",1317-25-5,215-262-3,,"Aluminum, chloro[(2,5-dioxo-4-imidazolidinyl)ureato]tetra-",,Antimicrobial/astringent,
364,,,,hydroxydi-,,,,
365,ALCOHOL,alcohol,alcoholum/ethanolum,64-17-5,200-578-6,Ethanol,Solvent,
366,ALCOHOL DENAT,,,,,Ethanol denatured in accordance with Customs and Excise,Solvent,
367,,,,,,regulations,,
368,ALDIOXA,aldioxa,,5579-81-7,226-964-4,"Aluminum,
[(2,5-dioxo-4-imidazolidinyl)ureato]dihydroxy-",Antimicrobial/astringent,
369,ALEURITES MOLUCCANA,,,223747-70-4,,"Aleurites Moluccana Extract
is an extract of
the nuts of
the",Emollient,
370,EXTRACT,,,,,"kukui, Aleurites moluccana, Euphorbiaceae",,
371,ALEURITES MOLUCCANA,,,8015-80-3,,"Aleurites Moluccana Nut Oil
is the oil expressed from the",Skin conditioning,
372,NUT OIL,,,,,"nuts of
the kukui
tree, Aleurites moluccana, Euphorbiaceae",,
373,ALEURITIC ACID,,,6949-98-0,,"Hexadecanoic acid, 9,10,16-trihydroxy-",Skin conditioning,
374,ALGAE,,,,,,Tonic/refreshing/soothing/humec-,
375,,,,,,,tant,
376,ALGIN,sodium alginate,natrii alginas,9005-38-3,,"Alginic acid, sodium salt",Binding/viscosity controlling,
377,ALGINIC ACID,alginic acid,acidum alginicum,9005-32-7,232-680-1,Alginic acid,Binding/viscosity controlling,
378,ALKANNA TINCTORIA,,,85251-58-7,286-469-4,"Alkanna Tinctoria Extract
is an extract of
the roots of
the",Tonic,
379,EXTRACT,,,,,"alkanet, Alkanna tinctoria, Boraginaceae",,
380,ALLANTOIN,allantoin,,97-59-6,202-592-8,"Urea,
(2,5-dioxo-4-imidazolidinyl)-",Soothing,
381,ALLANTOIN ACETYL,,,4207-40-3,224-126-2,"N-acetyl-DL-methionine, compound with (2,5-dioxo-4-imi-",Antistatic/skin protecting/soothing,
382,METHIONINE,,,,,dazolidine)urea (1: 1),,
383,ALLANTOIN ASCORBATE,,,57448-83-6,260-739-1,"(2,5-dioxoimidazolidin-4-yl)urea L-ascorbate",Antioxidant/soothing/skin protect-,
384,,,,,,,ing,
385,ALLANTOIN BIOTIN,,,4492-73-3,,"Urea,
(2,5-dioxo-4-imidazolydinyl)-, compound with 2H-",Soothing/antiseborrhoeic/skin pro-,
386,,,,,,"thieno[3,4-d]imidazole-4-pentanoic acid, hexahydro-2-oxo-,",tecting,
387,,,,,,"[3as-(3aalpha,4b,6aalpha)]-",,
388,ALLANTOIN CALCIUM,,,4207-41-4,,"beta.-Alanine, N-(2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-,",Soothing/skin protecting,
389,PANTOTHENATE,,,,,"calcium salt
(2: 1),
(R)-, compound with 2,5-dioxo-4-",,
390,,,,,,imidazolydinyl urea,,
391,ALLANTOIN GALAC-,,,5119-24-4,,"Urea,
(2,5-dioxo-4-imidazolydinyl)-, compound with galac-",Soothing/skin protecting,
392,TURONIC ACID,,,,,turonic acid,,
393,ALLANTOIN GLYCYRRHE-,,,976175,"Olean-12-en-29-oic acid, 3-hydroxy-11-oxo-,
(3.beta., 20.",Skin protecting/soothing,,
394,TINIC ACID,,,,"beta.)-, compound with (2,5-dioxo-4-imidazolydinyl)urea",,,
395,,,,,(1: 1),,,
396,ALLANTOIN PABA,,,4207-42-5,"Urea,
(2,5-dioxo-4-imidazolydinyl)-, compound with 4-",Uv absorber,,
397,,,,,aminobenzoic acid (1: 1),,,
398,ALLANTOIN POLYGALAC-,,,29659-38-9,"D-Polygalacturonic acid, compound with (2,5-dioxo-4-",Skin protecting/soothing,,
399,TURONIC ACID,,,,imidazolydinyl)-urea,,,
400,ALLIUM CEPA EXTRACT,,,"8054-39-5
232-498-2","Allium Cepa Extract
is an extract of
the bulbs of
the onion,",Antidandruff,,
401,,,,,"Allium cepa, Liliaceae",,,
402,ALLIUM SATIVUM,,,"8008-99-9
232-371-1","Allium Sativum Extract is an extract of the bulb of the garlic,",Antimicrobial,,
403,EXTRACT,,,,"Allium sativum, Liliaceae",,,
404,ALLYL CAPROATE,,,"123-68-2
204-642-4",Allyl hexanoate,Emollient,,
405,ALLYL METHACRYLATES,,,182212-41-5,"2-Propenoic acid, 2-methyl-, 1,2-ethenediyl ester, polymer",Emulsion stabilising/opacifying/,,
406,CROSSPOLYMER,,,,with 2-propenyl 2-methyl-2-propenoate,viscosity controlling,,
407,ALLYL STEARATE/VA,,,56266-37-6,"Propenyl stearate, polymer with ethenyl acetate",Film forming,,
408,COPOLYMER,,,,,,,
409,ALMOND OIL PEG-6,,,124046-50-0,"Oils, almond, ethoxylated, 6 mol EO",Emollient,,
410,ESTERS,,,,,,,
411,ALMONDAMIDE DEA,,,124046-18-0,"Almond amides, N,N-bis(2-hydroxyethyl)-",Surfactant,,
412,ALMONDAMIDOPRO-,,,124046-03-3,Almond alkyl amidopropyl dimethyl benzyl ammonium,Antistatic,,
413,PALKONIUM CHLORIDE,,,,chloride,,,
414,ALMONDAMIDOPROPYL,,,165586-98-1,Almondamidopropyl dimethyl glycine,Surfactant/foaming/cleansing,,
415,BETAINE,,,,,,,
416,ALMONDAMIDOPROPYL,,,165586-99-2,"Amides, almond, N-[3-(dimethylamino)-propyl]-",Antistatic,,
417,DIMETHYLAMINE,,,,,,,
418,ALMONDAMIDOPROPY-,,,124046-20-4,"Amides, almond, N-[3-(dimethylamino)-propyl]-, N-oxide",Surfactant/foaming/cleansing,,
419,LAMINE OXIDE,,,,,,,
420,ALNUS FIRMIFOLIA,,,223747-71-5,Alnus Firmifolia Extract is an extract of the strobile of Alnus,Skin conditioning,,
421,EXTRACT,,,,"firmifolia, Betulaceae",,,
422,ALOE ARBORESCENS,,,223747-76-0,,"Aloe Arborescens Extract
is an extract of
the leaves of Aloe",Moisturising/soothing,
423,EXTRACT,,,,,"arborescens, Liliaceae",,
424,ALOE BARBADENSIS,,,,,Aloe Barbadensis is a plant material derived from the leaves,Emollient,
425,,,,,,"of
the aloe, Aloe barbadensis, Liliaceae",,
426,ALOE BARBADENSIS,aloes,extractum,85507-69-3,287-390-8,"Aloe Barbadensis Extract
is an extract of
the leaves of
the",Emollient,
427,EXTRACT,,,,,"aloe, Aloe barbadensis, Liliaceae",,
428,ALOE BARBADENSIS,,,85507-69-3,287-390-8,"Aloe Barbadensis Flower Extract
is an extract of
the flowers",Emollient,
429,FLOWER EXTRACT,,,,,"of
the aloe, Aloe barbadensis, Liliaceae",,
430,ALOE BARBADENSIS GEL,,,,,"Aloe Barbadensis Gel
is the juice expressed from the leaves",Emollient,
431,,,,,,"of
the aloe, Aloe barbadensis, Liliaceae",,
432,ALOE FEROX EXTRACT,,,84649-82-1,283-462-8,"Aloe Ferox Extract
is an extract of
the leaves of Aloe ferox,",Moisturising/soothing,
433,,,,,,Liliaceae,,
434,ALPHA DAMASCONE,,,23726-94-5,245-845-8,"(Z)-1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-2-buten-1-one",Masking,
435,ALPHA-GLUCAN OLIGO-,,,27707-45-5,,Alpha-d-glucose hompolymer,Skin conditioning,
436,SACCHARIDE,,,,,,,
437,ALTHAEA OFFICINALIS,,,,,Althaea Officinalis is a plant material derived from the dried,Emollient,
438,,,,,,"roots of
the marsh mallow, Althaea officinalis, Malvaceae",,
439,ALTHAEA OFFICINALIS,,,73049-65-7,277-254-6,"Althaea Officinalis Extract
is an extract of
the roots of
the",Emollient,
440,EXTRACT,,,,,"marshmallow, Althaea officinalis, Malvaceae",,
441,ALTHAEA ROSEA POW-,,,90045-76-4,289-940-2,"Althaea Rosea Powder
is the dried, crushed flowers of
the",Skin conditioning/moisturising,
442,DER,,,,,"hollyhock, Althaea rosea, Malvaceae",,
443,ALUMINA,,aluminii oxidum,1344-28-1,215-691-6,Aluminium oxide,Abrasive/opacifying/viscosity con-,
444,,,,,,,trolling,
445,ALUMINUM ACETATE,aluminium acetate,,139-12-8,205-354-1,"Acetic acid, aluminum salt
(3: 1)",Antimicrobial,
446,ALUMINUM BEHENATE,,,18990-72-2,242-726-2,Aluminium tridocosanoate,Opacifying/viscosity controlling,
447,ALUMINUM BENZOATE,,,555-32-8,209-091-3,Aluminium tribenzoate,Antimicrobial,
448,ALUMINUM BROMOHY-,,,39431-98-6,254-448-9,Dialuminium bromide pentahydroxide,Antiperspirant/deodorant/astrin-,
449,DRATE,,,,,,gent,
450,ALUMINUM BUTOXIDE,,,2269-22-9,218-871-2,"2-Butanol, aluminium salt",Stabilising,
451,ALUMINUM CAPRYLATE,,,6028-57-5,227-902-9,Aluminium trioctanoate,Emulsion stabilising/opacifying/,
452,,,,,,,viscosity controlling,
453,ALUMINUM CAPRYLOYL,,,165800-56-6,,"Hydrolyzed collagen, product with caprylic acid, aluminum",Antistatic/skin conditioning/hair,
454,HYDROLYZED COLLAGEN,,,,,salt,conditioning,
455,ALUMINUM CHLORIDE,aluminium chloride,,7446-70-0,231-208-1,Aluminium chloride,Antiperspirant/deodorant/astrin-,
456,,,,,,,gent,
457,ALUMINUM CHLOROHY-,,,12042-91-0,234-933-1,Dialuminium chloride pentahydroxide,Antiperspirant/deodorant/astrin-,
458,DRATE,,,,,,gent,
459,ALUMINUM CHLOROHY-,,,242812-76-6,,"Poly(oxy-1,2-ethanediyl),
.alpha.-hydro-.omega.-hydroxy-,",Antiperspirant/astringent,
460,DREX PEG,,,,,reaction products with aluminium chloride hydroxide,,
461,,,,,,(Al2Cl(OH)5),,
462,ALUMINUM CHLOROHY-,,,245090-52-2,258-309-3,"1,2-Propanediol, reaction products with aluminium chloride",Antiperspirant/astringent,
463,DREX PG,,,,,hydroxide (Al2Cl(OH)5),,
464,ALUMINUM CITRATE,,,813-92-3,,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, aluminium salt",Antiperspirant/deodorant/astrin-,
465,,,,,,(1: 1),gent,
466,ALUMINUM DIACETATE,aluminium subace-,,142-03-0,205-518-2,Bis(acetato-O)hydroxyaluminium,Antimicrobial,
467,,tate,,,,,,
468,ALUMINUM DICETYL,,,26527-54-8,,"Phosphoric acid, bis(hexadecyl)ester, aluminium salt",Emulsion stabilising,
469,PHOSPHATE,,,,,,,
470,ALUMINUM DICHLORO-,,,,233-632-2,Aluminum hydroxide chloride (Al2(OH)4Cl2),Antiperspirant/deodorant/astrin-,
471,HYDRATE,,,,,,gent,
472,ALUMINUM DICHLORO-,,,10284-64-7,,Aluminum hydroxide chloride (Al: Cl 1: 1),Antiperspirant/deodorant/astrin-,
473,HYDRATE,,,,,,gent,
474,ALUMINUM DICHLORO-,,,242812-79-9,,"Poly(oxy-1,2-ethanediyl),
.alpha.-hydro-.omega.-hydroxy-,",Antiperspirant/astringent,
475,HYDREX PEG,,,,,reaction products with aluminium chloride hydroxide (AlCl,,
476,,,,,,(OH)2),,
477,ALUMINUM DICHLORO-,,,245090-53-3,,"1,2-Propanediol, reaction products with aluminium chloride",Antiperspirant/astringent,
478,HYDREX PG,,,,,hydroxide (AlCl(OH)2),,
479,ALUMINUM DILINOLEATE,,,,53202-37-2,"9,12-octadecadienoic acid (Z, Z)-, dimer, aluminum salt",Emulsion stabilising/opacifying/,
480,,,,,,,viscosity controlling,
481,ALUMINUM DIMYRISTATE,,,,"56639-51-1
260-305-1",Hydroxybis(myristato-O)aluminium,Emulsion stabilising/opacifying/,
482,,,,,,,viscosity controlling,
483,ALUMINUM DISTEARATE,,,,"300-92-5
206-101-8",Hydroxyaluminium distearate,Emulsion stabilising/opacifying/,
484,,,,,,,viscosity controlling,
485,ALUMINUM FLUORIDE,,,,"7784-18-1
232-051-1",Aluminium fluoride,"III/1,34
Oral care/antiplaque",
486,ALUMINUM FORMATE,,,,"7360-53-4
230-898-1",Aluminium triformate,Antimicrobial,
487,ALUMINUM GLYCINATE,dihydroxyalumi-,,,"13682-92-3
237-193-8",Dihydroxyaluminium glycinate,Buffering,
488,,,nium aminoacetate,,,,,
489,ALUMINUM HYDROGE-,,,,,"L-Glutamic acid, N-(hydrogenated tallow-acyl) derivatives,",Surfactant,
490,NATED TALLOW GLUTA-,,,,,aluminium salts,,
491,MATE,,,,,,,
492,ALUMINUM HYDROXIDE,,aluminium hydro-,,"21645-51-2
244-492-7",Aluminium hydroxide,Emollient/humectant/viscosity con-,
493,,xide,,,,,trolling,
494,ALUMINUM ISOSTEA-,,,,72277-75-9,"Isostearic acid, aluminum salt",Emulsion stabilising/opacifying/,
495,RATE,,,,,,viscosity controlling,
496,ALUMINUM ISOSTEA-,,,,,"Isostearic acid,
lauric acid, palmitic acid, mixture, aluminum",Emulsion stabilising/opacifying/,
497,RATES/LAURATES/PALMI-,,,,,salt,viscosity controlling,
498,TATES,,,,,,,
499,ALUMINUM ISOSTEA-,,,,,"Isostearic,
lauric, stearic acids mixture, aluminum salt",Emulsion stabilising/opacifying/,
500,RATES/LAURATES/STEA-,,,,,,viscosity controlling,
501,RATES,,,,,,,
502,ALUMINUM ISOSTEA-,,,,,"Isostearic acid, myristic acid, mixture, aluminum salt",Emulsion stabilising/opacifying/,
503,RATES/MYRISTATES,,,,,,viscosity controlling,
504,ALUMINUM ISOSTEA-,,,,,"Isostearic acid, palmitic acid, mixture, aluminum salt",Emulsion stabilising/opacifying/,
505,RATES/PALMITATES,,,,,,viscosity controlling,
506,ALUMINUM ISOSTEA-,,,,,"Isostearic acid, stearic acid, mixture, aluminum salt",Emulsion stabilising/opacifying/,
507,RATES/STEARATES,,,,,,viscosity controlling,
508,ALUMINUM LACTATE,,,,"18917-91-4
242-670-9",Aluminium trilactate,Buffering/astringent,
509,ALUMINUM LANOLATE,,,,85005-39-6,284-972-3,"Fatty acids,
lanolin, aluminum salts",Emulsifying/surfactant
510,ALUMINUM METHIONATE,,,,52667-15-9,258-085-7,Tris[.mu.-[methanedisulphonato(2-)]]dialuminium,Viscosity controlling
511,ALUMINUM MYRISTATE,,,,4040-50-0,223-728-2,"Tetradecanoic acid, aluminium salt",Anticaking/emulsion stabilising
512,ALUMINUM MYRISTATES/,,,,,,"Myristic, palmitic acids, mixture, aluminum salt",Emulsion stabilising/opacifying/
513,PALMITATES,,,,,,,viscosity controlling
514,ALUMINUM PCA,,,,59792-81-3,261-931-8,"Tris(5-oxo-L-prolinato-N1,O2)aluminium",Astringent
515,ALUMINUM PHENOLSUL-,,,,1300-35-2,215-083-0,Aluminium tris(hydroxybenzenesulphonate),Antimicrobial/deodorant
516,FONATE,,,,,,,
517,ALUMINUM SESQUI-,aluminium sesqui-,,,11089-92-2,234-310-4,Aluminum chloride hydroxide (Al4Cl3(OH)9),Antiperspirant/deodorant/astrin-
518,CHLOROHYDRATE,chlorohydrate,,,,,,gent
519,ALUMINUM SESQUI-,,,,242812-86-8,,"Poly(oxy-1,2-ethanediyl),
.alpha.-hydro-.omega.-hydroxy-,",Antiperspirant/astringent
520,CHLOROHYDREX PEG,,,,,,reaction products with aluminium chloride hydroxide,
521,,,,,,,(Al2Cl1.5(OH)4.5),
522,ALUMINUM SESQUI-,,,,245090-60-2,,"1,2-Propanediol, reaction products with aluminium chloride",Antiperspirant/astringent
523,CHLOROHYDREX PG,,,,,,hydroxide (Al2Cl1.5(OH)4.5),
524,ALUMINUM SILICATE,,,,1327-36-2,215-475-1,Aluminatesilicate (CI 77004),Abrasive/absorbent/opacifying
525,ALUMINUM STARCH,,,,9087-61-0,,"Starch, hydrogen octenylbutanedionate, aluminum salt",Absorbent/viscosity controlling/
526,OCTENYLSUCCINATE,,,,,,,anticaking
527,ALUMINUM STEARATE,aluminium mono-,,,7047-84-9,230-325-5,"Dihydroxyaluminium stearate
IV/1",Cosmetic colorant/anticaking
528,,stearate,,,,,,
529,ALUMINUM STEARATES,,,,,,Aluminum distearate and aluminum tristearate,Emollient/emulsion stabilising/opa-
530,,,,,,,,cifying/viscosity controlling
531,ALUMINUM SULFATE,aluminium sulfate,aluminii,sulfas,10043-01-3,233-135-0,Aluminium sulphate,Antiperspirant/deodorant
532,ALUMINUM TRISTEARATE,,,,637-12-7,211-279-5,Aluminium tristearate,Emollient/emulsion stabilising/opa-
533,,,,,,,,cifying/viscosity controlling
534,ALUMINUM UNDECYLE-,,,,162260-09-5,,"Collagens, hydrolyzates, reaction products with undecenoyl",Antistatic/skin conditioning/hair
535,NOYL COLLAGEN AMINO,,,,,,"chloride, aluminum salts",conditioning
536,ACIDS,,,,,,,
537,ALUMINUM ZIRCONIUM,,,"98106-55-9
308-576-8","Octaaluminium zirconium octachloride icosahydroxide
III/1,50",Antiperspirant/deodorant/astrin-,,
538,OCTACHLOROHYDRATE,,,,,gent,,
539,ALUMINUM ZIRCONIUM,,,174514-58-0,"III/1,50
Complex reaction product obtained from the reaction of",Antiperspirant/deodorant/astrin-,,
540,OCTACHLOROHYDREX,,,,aluminium zirconium octachlorohydrate (Al8Zr(OH)20Cl8.,gent,,
541,GLY,,,,xH2O) and glycine,,,
542,ALUMINUM ZIRCONIUM,,,"98106-54-8
308-575-2","Octaaluminium zirconium pentachloride tricosahydroxide
III/1,50",Antiperspirant/deodorant/astrin-,,
543,PENTACHLOROHYDRATE,,,,,gent,,
544,ALUMINUM ZIRCONIUM,,,125913-22-6,"III/1,50
Complex reaction product obtained from the reaction of",Antiperspirant/deodorant/astrin-,,
545,PENTACHLOROHYDREX,,,,aluminium zirconium pentachlorohydrate (Al8Zr(OH),gent,,
546,GLY,,,,23Cl5.xH2O) and glycine,,,
547,ALUMINUM ZIRCONIUM,,,"98106-52-6
308-573-1","Tetraaluminium zirconium tetrachloride dodecahydroxide
III/1,50",Antiperspirant/deodorant/astrin-,,
548,TETRACHLOROHYDRATE,,,,,gent,,
549,ALUMINUM ZIRCONIUM,,,134910-86-4,"III/1,50
Complex reaction products obtained from the reaction of",Antiperspirant/deodorant/astrin-,,
550,TETRACHLOROHYDREX,,,,aluminium zirconium tetrachlorohydrate (Al8Zr(OH)12Cl4.,gent,,
551,GLY,,,,xH2O) and glycine,,,
552,ALUMINUM ZIRCONIUM,,,246867-10-7,"III/1,50
Zirconium, chloro hydroxy polyethylene glycol, aluminium",Deodorant,,
553,TETRACHLOROHYDREX,,,,complexes. Co-ordination complex prepared from the,,,
554,PEG,,,,reaction of aluminium zirconium chloride hydroxide,,,
555,,,,,(Al4ZrCl4(OH)12) and polyethylene glycol,,,
556,ALUMINUM ZIRCONIUM,,,235433-35-9,"Aluminium zirconium chloride hydroxide, Al4ZrCl4(OH)
III/1,50",Deodorant,,
557,TETRACHLOROHYDREX,,,,"12, reaction products with propylene glycol",,,
558,PG,,,,,,,
559,ALUMINUM ZIRCONIUM,,,"98106-53-7
308-574-7","Tetraaluminium zirconium trichloride tridecahydroxide
III/1,50",Antiperspirant/deodorant/astrin-,,
560,TRICHLOROHYDRATE,,,,,gent,,
561,ALUMINUM ZIRCONIUM,,,134375-99-8,"III/1,50
Complex reaction product obtained from the reaction of",Antiperspirant/deodorant/astrin-,,
562,TRICHLOROHYDREX GLY,,,,aluminium zirconium trichlorohydrate (Al8Zr(OH)13Cl3.,gent,,
563,,,,,xH2O) with glycine,,,
564,ALUMINUM/MAGNESIUM,,,,Aluminum magnesium hydroxide and stearic acid,Emulsion stabilising,,
565,HYDROXIDE STEARATE,,,,,,,
566,AMARANTHUS CAUDA-,,,223747-79-3,"Amaranthus Caudatus Extract
is an extract of
the seeds of",Skin conditioning,,
567,TUS EXTRACT,,,,"Amaranthus caudatus, Amaranthaceae",,,
568,AMINO BISPROPYL,,,243842-22-0,,,,Emulsifying/hair conditioning
569,DIMETHICONE,,,,,,,
570,AMINO BISPROPYL,,,,,"1,1'-iminobis(3-(tris(trimethylsiloxy)silyl)propane",,Emulsifying/hair conditioning
571,DIMETHICONE,,,,,,,
572,4-AMINO-3-NITROPHE-,,,610-81-1,210-236-8,4-amino-3-nitrophenol,,Hair dyeing
573,NOL,,,,,,,
574,5-AMINO-4-FLUORO-2-,,,163183-01-5,,"Phenol, 5-amino-4-fluoro-2-methyl-, sulfate (2: 1)
(salt)",,Hair dyeing
575,METHYLPHENOL SULFATE,,,,,,,
576,2-AMINOBUTANOL,,,96-20-8,202-488-2,2-aminobutan-1-ol,,Buffering
577,AMINOBUTYRIC ACID,,,56-12-2,200-258-6,4-aminobutyric acid,,Hair conditioning
578,2-AMINO-6-CHLORO-4-,,,1628499,228-762-1,2-amino-6-chloro-4-nitrophenol,,Hair dyeing
579,NITROPHENOL,,,,,,,
580,5-AMINO-6-CHLORO-O-,,,84540-50-1,283-144-9,3-amino-2-chlor-6-methylphenol,,Antimicrobial/hair dyeing
581,CRESOL,,,,,,,
582,"5-AMINO-2,6-",,,104333-03-1,,"3-pyridinol, 2,6-dimethoxy-5-amino-",,Hair dyeing
583,DIMETHOXY-3-HYDROXY-,,,,,,,
584,PYRIDINE,,,,,,,
585,AMINOETHANESULFINIC,,,300-84-5,,"Ethanesulfinic acid, 2-amino-",,Reducing
586,ACID,,,,,,,
587,AMINOETHYL PROPANE-,,,115-70-8,204-101-2,2-amino-2-ethylpropanediol,,Buffering
588,DIOL,,,,,,,
589,AMINOETHYL SULFATE,,,926-39-6,213-135-7,2-aminoethyl hydrogen sulphate,,Surfactant
590,AMINOETHYLACRYLATE,,,57450-97-2,,"2-propenoic acid, 2-aminoethyl ester, polymer with 1,2-",,Antistatic/film forming
591,PHOSPHATE/ACRYLATES,,,,,"propanediol mono-2-propenoate, phosphate (salt)",,
592,COPOLYMER,,,,,,,
593,2-AMINO-4-HYDRO-,,,83763-47-7,280-733-2,2-[(3-amino-4-methoxyphenyl)amino]ethanol,,Hair dyeing
594,XYETHYLAMINOANISOLE,,,,,,,
595,2-AMINO-4-HYDRO-,,,83763-48-8,280-734-8,(3-ammonio-4-methoxyphenyl)(2-hydroxyethyl)ammonium,,Hair dyeing
596,XYETHYLAMINOANISOLE,,,,,sulphate,,
597,SULFATE,,,,,,,
598,2-AMINO-3-HYDROXY-,,,16867-03-1,240-886-8,2-aminopyridin-3-ol,,Hair dyeing
599,PYRIDINE,,,,,,,
600,4-AMINO-2-HYDROXYTO-,,,2835-95-2,220-618-6,5-amino-o-cresol,,Hair dyeing
601,LUENE,,,,,,,
602,4-AMINO-M-CRESOL,,,2835-99-6,220-621-2,4-amino-m-cresol,,Hair dyeing
603,6-AMINO-M-CRESOL,,,2835-98-5,220-620-7,6-amino-m-cresol,,Hair dyeing
604,AMINOMETHYL PROPA-,,,115-69-5,204-100-7,"2-amino-2-methylpropane-1,3-diol",,Buffering
605,NEDIOL,,,,,,,
606,AMINOMETHYL PROPA-,,,124-68-5,204-709-8,2-amino-2-methylpropanol,,Buffering
607,NOL,,,,,,,
608,2-AMINOMETHYL-P-AMI-,,,135043-64-0,,"Phenol, 2-aminomethyl-4-amino-, dihydrochloride",,Hair dyeing
609,NOPHENOL HCL,,,,,,,
610,4-AMINO-2-NITRODIPHE-,,,117907-43-4,,"1,4-Benzenediamine, 2-nitro-N(1)-(2-carboxyphenyl)-",,Hair dyeing
611,NYLAMINE-2'-CAR-,,,,,,,
612,BOXYLIC ACID,,,,,,,
